User ID,Birthdate,City,State,Zip,Available Points,Total Points Earned,Points Spent,Joined On,Last Seen
2103,12/1/2021 10:44,Atlanta,Georgia,30319,120,670,550,10/13/2020 21:30,12/1/2021 10:44
572,7/17/2001,Atlanta,Georgia,30338,1295,2105,810,9/9/2020 22:42,2/12/2022 14:45
1952,9/13/2002,Atlanta,Georgia,30311,660,660,0,10/12/2020 19:14,2/28/2022 16:07
997,4/16/2022 12:43,Smyrna,Georgia,30080,725,755,30,9/10/2020 14:56,4/16/2022 12:43
1021,3/21/2022 20:04,Sandy Springs,Georgia,30328,250,550,300,9/10/2020 15:20,3/21/2022 20:04
7215,1/17/2004,Rome,Georgia,30165,420,420,0,6/22/2022 15:28,6/23/2022 13:24
1,1/31/1992,Minneapolis,Georgia,55401,300,300,0,9/4/2020 0:15,12/16/2021 17:42
2778,7/4/2000,Rex,Georgia,30273,16490,16790,300,3/3/2021 3:01,6/4/2022 8:44
339,3/27/2022 13:01,Atlanta,Georgia,30305,3100,3910,810,9/9/2020 13:45,3/27/2022 13:01
351,5/4/2022 9:52,Atlanta,Georgia,30327,960,2160,1200,9/9/2020 13:57,5/4/2022 9:52
3180,11/29/2002,Libertyville,Illinois,60048,3455,4455,1000,8/19/2021 15:02,5/4/2022 0:04
1243,5/14/2002,Waukegan,Illinois,60085,52165,52165,0,9/26/2020 1:22,6/30/2022 11:38
204,4/19/2022 17:51,Wilmette,Illinois,60091,350,4350,4000,9/8/2020 19:23,4/19/2022 17:51
807,2/3/2001,Downers Grove,Illinois,60515,1595,2170,575,9/10/2020 13:54,3/24/2022 18:04
724,2/28/2022 17:56,Glenview,Illinois,60025,4050,4375,325,9/10/2020 13:00,2/28/2022 17:56
2763,4/16/2022 17:36,Frankfort,Kentucky,40601,3755,3780,25,3/2/2021 20:02,4/16/2022 17:36
3226,8/23/2002,Louisville,Kentucky,40222,5750,5750,0,8/19/2021 19:06,3/17/2022 10:03
7219,6/12/2004,Lutherville,Maryland,21093,490,490,0,6/22/2022 17:28,6/30/2022 8:43
7219,6/12/2004,Lutherville,Maryland,21093,490,490,0,6/22/2022 17:28,6/30/2022 8:43
827,6/6/2002,Lutherville,Maryland,21093,600,1100,500,9/10/2020 14:01,1/22/2022 19:29
2767,4/30/2022 11:31,Rockville,Maryland,20850,2610,3060,450,3/2/2021 21:26,4/30/2022 11:31
934,5/8/2021 13:53,Chevy Chase,Maryland,20815,265,1840,1575,9/10/2020 14:26,5/8/2021 13:53
1057,3/22/2022 10:19,Chevy Chase,Maryland,20815,750,1250,500,9/10/2020 19:56,3/22/2022 10:19
3318,5/11/2022 14:42,Potomac,Maryland,20854,6380,6380,0,8/21/2021 11:09,5/11/2022 14:42
2053,5/11/2022 19:11,Baltimore,Maryland,21218,1535,1870,335,10/13/2020 14:51,5/11/2022 19:11
1269,5/21/2022 19:13,Silver Spring,Maryland,20901,555,1690,1135,9/26/2020 20:29,5/21/2022 19:13
54,12/29/2001,Bethesda,Maryland,20814,4715,7725,3010,9/6/2020 2:14,6/30/2022 16:36
2577,11/11/2001,Edina,Minnesota,55439,6755,7080,325,10/21/2020 19:44,4/12/2022 19:11
2618,6/29/2022 10:39,Blaine,Minnesota,55449,5310,310,0,6/29/2022 10:32,6/29/2022 10:39
581,2/25/2022 18:25,Medina,Minnesota,55340,1945,2000,55,9/9/2020 23:58,2/25/2022 18:25
6707,12/3/2021 19:06,Maple Grove,Minnesota,55311,400,400,0,11/28/2021 20:14,12/3/2021 19:06
129,4/1/2022 20:32,Jackson,Mississippi,39211,4430,4330,100,9/8/2020 0:25,4/1/2022 20:32
6683,7/11/1994,Clovis,New Mexico,88101,410,410,0,11/27/2021 14:56,5/16/2022 8:57
1049,8/17/2002,Northport,New York,11768,3565,3565,0,9/10/2020 18:04,2/8/2022 6:01
511,3/21/2000,Perry,New York,14530,10315,10340,25,9/9/2020 20:09,6/24/2022 14:17
2814,10/1/2000,Aurora,New York,13026,1980,1980,0,3/7/2021 17:44,1/17/2022 8:53
1634,3/14/2022 17:38,Big Flats,New York,14814,960,1960,1000,9/30/2020 1:38,3/14/2022 17:38
7217,1/8/2004,Delhi,New York,13753,460,460,0,6/22/2022 15:50,6/29/2022 21:26
2718,1/14/2000,Whitesboro,New York,13492,2680,2680,0,3/1/2021 22:27,4/9/2022 15:47
3434,4/7/2003,Jamesville,New York,13078,1200,1200,0,8/21/2021 19:19,2/22/2022 9:54
1693,5/31/2002,Larchmont,New York,10538,1880,1900,20,10/1/2020 18:18,6/30/2022 20:24
6730,10/11/1997,Smithtown,New York,11787,400,400,0,12/1/2021 10:23,12/2/2021 21:37
1737,1/24/2000,Winston-Salem,North Carolina,27109,6930,7230,300,10/2/2020 21:18,4/19/2022 12:56
100,5/18/2022 11:54,Winston-Salem,North Carolina,27106,4785,7410,2625,9/7/2020 14:20,5/18/2022 11:54
5818,9/30/1986,Winston-Salem,North Carolina,27104,1030,1030,0,9/16/2021 19:05,6/1/2022 7:35
60,4/27/1999,Winston-Salem,North Carolina,27106,6340,6370,30,9/6/2020 21:05,4/19/2022 19:05
2258,8/20/1998,Winston-Salem,North Carolina,27106,1130,1130,0,10/19/2020 11:55,1/13/2022 15:19
1835,12/10/2020 17:05,Winston-Salem,North Carolina,27106,725,775,50,10/11/2020 13:42,12/10/2020 17:05
4148,2/9/1996,Winston-Salem,North Carolina,27106,630,1630,1000,8/30/2021 20:54,3/30/2022 16:43
3793,10/28/1996,Winston-Salem,North Carolina,27101,500,500,0,8/28/2021 21:30,11/8/2021 19:37
3582,2/15/1999,Winston-Salem,North Carolina,27106,8475,8475,0,8/26/2021 10:28,4/9/2022 23:21
74,6/1/2021 19:08,Winston-Salem,North Carolina,27106,2290,12590,10300,9/6/2020 22:25,6/1/2021 19:08
456,3/5/2022 16:05,Winston-Salem,North Carolina,27109,1910,3010,1100,9/9/2020 17:46,3/5/2022 16:05
92,4/11/2002,Durham,North Carolina,27707,1000,1000,0,9/7/2020 3:31,6/24/2022 18:30
361,5/12/2022 16:42,Winston-Salem,North Carolina,27109,7635,8135,500,9/9/2020 14:35,5/12/2022 16:42
2893,11/29/2000,Winston-Salem,North Carolina,27106,2100,2500,400,4/8/2021 13:50,6/30/2022 0:48
5816,7/20/1994,Winston-Salem,North Carolina,27127,450,450,0,9/16/2021 17:40,12/9/2021 10:23
2071,5/11/2022 21:44,Winston-Salem,North Carolina,27106,5760,6260,500,10/13/2020 17:18,5/11/2022 21:44
2006,2/28/2022 11:10,Raleigh,North Carolina,27615,470,1270,800,10/13/2020 10:23,2/28/2022 11:10
19,6/30/2022 21:19,Goldsboro,North Carolina,27534,3425,3425,0,8/24/2020 15:35,6/30/2022 21:19
5979,12/9/1969,Winston-Salem,North Carolina,27101,910,910,0,9/22/2021 10:28,5/6/2022 12:08
3573,6/29/1998,Winston-Salem,North Carolina,27101,1890,7890,6000,8/25/2021 20:42,7/1/2022 8:14
2062,8/7/2021 4:22,Winston-Salem,North Carolina,27106,20,720,700,10/13/2020 16:15,8/7/2021 4:22
6438,8/26/1993,Winston-Salem,North Carolina,27106,590,590,0,11/8/2021 16:55,5/8/2022 10:39
2052,3/2/2022 21:01,Winston-Salem,North Carolina,27106,1200,1400,200,10/13/2020 14:51,3/2/2022 21:01
2650,6/5/2002,Winston-Salem,North Carolina,22213,10285,10585,300,2/26/2021 10:54,4/16/2022 13:27
46,7/20/1995,Winston-Salem,North Carolina,27103,2205,2205,0,9/5/2020 12:52,12/6/2021 20:52
4563,1/12/1999,Winston-Salem,North Carolina,27106,450,450,0,9/2/2021 11:52,1/22/2022 16:07
245,4/4/2000,Winston-Salem,North Carolina,27106,7880,8430,550,9/8/2020 22:29,5/18/2022 11:03
3579,9/18/2001,Winston-Salem,North Carolina,27109,3040,3040,0,8/26/2021 0:07,5/14/2022 12:20
6144,5/23/2021,Charlotte,North Carolina,28205,250,750,500,10/11/2021 8:47,1/6/2022 14:16
1722,7/1/2022 0:12,Winston-Salem,North Carolina,27109,2460,2460,0,10/2/2020 17:55,7/1/2022 0:12
1316,5/3/2021 21:38,Winston-Salem,North Carolina,27106,800,1300,500,9/28/2020 9:45,5/3/2021 21:38
7227,3/14/2000,Clemmons,North Carolina,27012,460,460,0,6/23/2022 22:18,6/29/2022 23:40
6825,5/30/2001,Cleveland,North Carolina,27013,400,400,0,1/10/2022 9:24,2/28/2022 17:30
7114,4/24/1998,Winston-Salem,North Carolina,27101,800,800,0,2/4/2022 19:19,2/4/2022 19:51
6439,8/3/1995,Winston-Salem,North Carolina,27103,400,400,0,11/8/2021 19:19,1/26/2022 15:15
1611,6/23/2022 13:54,Winston-Salem,North Carolina,27109,23765,50165,26400,9/29/2020 21:53,6/23/2022 13:54
1214,6/30/2022 17:53,Winston-Salem,North Carolina,27109,3160,3420,260,9/25/2020 16:41,6/30/2022 17:53
1757,3/24/2000,Winston-Salem,North Carolina,27106,2315,2315,0,10/3/2020 18:49,5/18/2022 12:01
2669,5/19/2021 9:22,Winston-Salem,North Carolina,27104,55,2055,2000,2/26/2021 19:43,5/19/2021 9:22
4344,12/31/1985,Winston-Salem,North Carolina,27106,450,450,0,8/31/2021 20:09,5/9/2022 22:48
1159,5/5/2022 21:45,Clemmons,North Carolina,27012,6225,8300,2075,9/17/2020 10:30,5/5/2022 21:45
48,6/5/2021 9:44,Winston-Salem,North Carolina,27106,3310,3560,250,9/5/2020 18:39,6/5/2021 9:44
1215,3/16/2022 19:44,Winston-Salem,North Carolina,27101,1450,2250,800,9/25/2020 16:43,3/16/2022 19:44
834,6/7/2021 11:46,Winston-Salem,North Carolina,27106,80,2305,2225,9/10/2020 14:02,6/7/2021 11:46
856,5/10/2021 14:43,Winston-Salem,North Carolina,27106,210,910,700,9/10/2020 14:09,5/10/2021 14:43
3573,6/29/1998,Winston-Salem,North Carolina,27101,1890,7890,6000,8/25/2021 20:42,7/1/2022 8:14
1212,4/24/2021 20:18,Winston-Salem,North Carolina,27106,1320,1320,0,9/25/2020 16:31,4/24/2021 20:18
5584,12/9/2021 10:27,Winston-Salem,North Carolina,27103,400,400,0,9/7/2021 11:18,12/9/2021 10:27
3585,5/28/1998,Winston-Salem,North Carolina,27106,3310,20310,17000,8/26/2021 13:10,6/13/2022 17:47
4268,1/21/1999,Winston-Salem,North Carolina,27106,780,780,0,8/31/2021 16:12,6/17/2022 9:21
4096,5/25/1995,Winston-Salem,North Carolina,27101,1250,1250,0,8/30/2021 18:59,3/2/2022 23:02
5781,12/7/1997,Winston-Salem,North Carolina,27103,2640,2640,0,9/15/2021 11:14,5/4/2022 12:01
1160,12/4/2021 22:45,Winston-Salem,North Carolina,27109,340,1990,1650,9/17/2020 10:32,12/4/2021 22:45
1774,8/8/2021 12:07,Rich Square,North Carolina,27869,1180,4030,2850,10/4/2020 13:43,8/8/2021 12:07
1491,3/2/2022 23:09,Winston-Salem,North Carolina,27106,1400,2200,800,9/28/2020 22:16,3/2/2022 23:09
4634,4/16/1998,Winston-Salem,North Carolina,27106,1060,1560,500,9/2/2021 16:42,3/18/2022 17:24
455,2/1/2021 8:41,Winston-Salem,North Carolina,27103,15,935,920,9/9/2020 17:46,2/1/2021 8:41
4276,9/25/1990,Winston-Salem,North Carolina,27101,500,500,0,8/31/2021 16:18,1/22/2022 18:00
277,5/25/2022 21:20,Winston-Salem,North Carolina,27107,925,7120,6195,9/9/2020 8:39,5/25/2022 21:20
55,4/20/2002,Winston-Salem,North Carolina,27109,11245,11245,0,9/6/2020 10:25,6/6/2022 6:09
1199,5/24/2022 19:26,Winston-Salem,North Carolina,80439,3575,4835,1260,9/20/2020 19:16,5/24/2022 19:26
708,12/20/2000,Winston-Salem,North Carolina,27106,10940,10960,20,9/10/2020 12:55,6/4/2022 21:24
2426,10/21/2020 14:52,Winston-Salem,North Carolina,27106,500,700,200,10/20/2020 12:36,10/21/2020 14:52
2408,11/13/2020 14:11,Winston-Salem,North Carolina,27106,700,700,0,10/20/2020 11:27,11/13/2020 14:11
59,6/30/2022 21:41,Winston-Salem,North Carolina,27109,6650,7650,1000,9/6/2020 21:05,6/30/2022 21:41
3796,4/15/2022 13:18,Winston-Salem,North Carolina,27106,70,1570,1500,8/29/2021 12:46,4/15/2022 13:18
697,8/2/2000,Winston-Salem,North Carolina,27106,1310,1310,0,9/10/2020 12:50,5/30/2022 13:33
1292,4/18/2022 11:00,Winston-Salem,North Carolina,27106,1965,2585,620,9/27/2020 20:12,4/18/2022 11:00
703,5/11/2022 19:41,Winston-Salem,North Carolina,27109,3800,8550,4750,9/10/2020 12:52,5/11/2022 19:41
2504,12/8/2000,Winston-Salem,North Carolina,27109,3125,3150,25,10/20/2020 20:06,3/28/2022 16:21
6415,3/1/2022 14:10,Winston-Salem,North Carolina,27103,450,450,0,11/4/2021 14:26,3/1/2022 14:10
57,8/15/2001,Winston-Salem,North Carolina,27109,12190,12190,0,9/6/2020 12:53,7/1/2022 8:20
1487,11/24/2021 0:39,Winston-Salem,North Carolina,27106,90,1090,1000,9/28/2020 21:55,11/24/2021 0:39
3350,3/8/2003,Winston-Salem,North Carolina,27109,3560,3560,0,8/21/2021 16:19,4/18/2022 12:13
1966,2/18/2022 13:00,Winston-Salem,North Carolina,27106,10,610,600,10/12/2020 20:28,2/18/2022 13:00
2615,4/13/2001,Supply,North Carolina,28462,2230,2530,300,2/2/2021 18:36,2/12/2022 13:17
262,4/21/2000,Winston-Salem,North Carolina,27109,485,15385,14900,9/8/2020 23:30,6/1/2022 21:42
1616,5/19/2022 15:26,Winston-Salem,North Carolina,27109,2735,3660,925,9/29/2020 22:31,5/19/2022 15:26
1365,4/6/2001,Locust,North Carolina,28097,2700,3200,500,9/28/2020 12:51,5/26/2022 20:10
1192,4/16/2022 9:37,Lexington,North Carolina,27295,6350,6500,150,9/19/2020 16:42,4/16/2022 9:37
194,2/16/2000,Winston-Salem,North Carolina,27106,1235,12520,11285,9/8/2020 18:35,6/28/2022 15:53
6770,5/6/2022 11:53,Winston-Salem,North Carolina,27103,420,420,0,1/7/2022 15:14,5/6/2022 11:53
5529,6/26/2003,Winston-Salem,North Carolina,27109,450,450,0,9/4/2021 13:08,10/26/2021 10:55
619,5/12/2022 16:36,Winston-Salem,North Carolina,27103,8425,8555,130,9/10/2020 12:25,5/12/2022 16:36
1040,10/14/2020 13:52,Raleigh,North Carolina,27609,490,500,10,9/10/2020 16:21,10/14/2020 13:52
974,10/20/1998,Winston-Salem,North Carolina,27109,790,1890,1100,9/10/2020 14:34,3/12/2022 10:48
2021,3/15/2022 10:46,Winston-Salem,North Carolina,27101,740,760,20,10/13/2020 11:36,3/15/2022 10:46
15,6/27/2000,Thomasville,North Carolina,27360,5750,5750,0,8/23/2020 9:26,4/11/2022 16:27
6047,3/10/2022 16:02,Winston-Salem,North Carolina,27106,160,2160,2000,9/29/2021 12:51,3/10/2022 16:02
6046,10/8/1998,Winston-Salem,North Carolina,27106,450,450,0,9/29/2021 12:24,11/13/2021 23:05
2307,5/8/2021 19:05,Winston-Salem,North Carolina,27106,800,900,100,10/19/2020 15:16,5/8/2021 19:05
4888,7/10/2003,Winston-Salem,North Carolina,27109,450,450,0,9/3/2021 12:18,3/28/2022 16:50
1366,4/16/2022 10:35,Winston-Salem,North Carolina,27101,9080,9930,850,9/28/2020 13:02,4/16/2022 10:35
4452,6/19/1995,Winston-Salem,North Carolina,27101,400,400,0,9/1/2021 15:27,2/19/2022 13:00
1102,7/19/1999,Winston-Salem,North Carolina,27106,2330,7830,5500,9/12/2020 8:00,5/28/2021 21:54
1102,7/19/1999,Winston-Salem,North Carolina,27106,2330,7830,5500,9/12/2020 8:00,5/28/2021 21:54
2214,10/21/2020 20:35,Winston-Salem,North Carolina,27106,630,700,70,10/18/2020 23:02,10/21/2020 20:35
3678,5/23/1999,Winston-Salem,North Carolina,27106,7500,13500,6000,8/26/2021 19:15,5/5/2022 1:55
4823,9/10/2002,Winston-Salem,North Carolina,27104,1690,1690,0,9/3/2021 10:14,5/17/2022 21:51
4824,6/9/1999,Winston-Salem,North Carolina,29204,400,400,0,9/3/2021 10:15,11/18/2021 14:03
6119,10/31/1995,Winston-Salem,North Carolina,27101,450,450,0,10/2/2021 12:05,12/2/2021 14:54
1005,12/9/1998,Winston-Salem,North Carolina,27106,4985,5085,100,9/10/2020 15:00,5/11/2022 18:49
5459,5/28/2002,Winston-Salem,North Carolina,27109,4800,4800,0,9/3/2021 18:51,4/13/2022 18:46
1368,5/8/2022 14:08,Winston-Salem,North Carolina,27106,1015,2690,1675,9/28/2020 13:14,5/8/2022 14:08
1377,5/7/2022 15:55,Winston-Salem,North Carolina,27106,2310,3010,700,9/28/2020 13:57,5/7/2022 15:55
4795,4/26/1999,Winston-Salem,North Carolina,27106,2400,5400,3000,9/3/2021 1:30,5/11/2022 13:01
4842,12/20/1988,Winston-Salem,North Carolina,27106,1270,1270,0,9/3/2021 11:02,10/30/2021 18:50
6135,11/12/1996,Winston-Salem,North Carolina,27106,1420,2920,1500,10/6/2021 16:52,6/30/2022 12:46
6219,1/26/1995,Winston-Salem,North Carolina,27101,400,400,0,10/23/2021 9:51,10/30/2021 12:56
1173,11/30/2021 20:28,Winston-Salem,North Carolina,27109,360,1420,1060,9/17/2020 14:24,11/30/2021 20:28
582,3/8/2022 15:47,Winston-Salem,North Carolina,27104,1125,1950,825,9/9/2020 23:58,3/8/2022 15:47
587,3/12/2000,Winston-Salem,North Carolina,27109,5855,11805,5950,9/10/2020 1:02,5/3/2022 17:54
4,4/16/1990,Winston-Salem,North Carolina,27106,10790,14290,3500,8/18/2020 13:21,6/30/2022 22:22
1977,3/1/2022 12:00,Winston-Salem,North Carolina,27109,1190,1200,10,10/12/2020 22:04,3/1/2022 12:00
573,3/5/2021 19:19,Winston-Salem,North Carolina,29701,1320,1330,10,9/9/2020 22:46,3/5/2021 19:19
6234,2/12/2002,Winston-Salem,North Carolina,27109,710,710,0,10/24/2021 23:28,5/8/2022 20:31
436,5/8/2022 0:42,Asheboro,North Carolina,27205,20,2445,2425,9/9/2020 17:24,5/8/2022 0:42
6011,8/27/1997,"Winston-Salem, Nc",North Carolina,27106,1280,1280,0,9/26/2021 18:41,5/26/2022 20:50
6318,10/29/2021 21:06,Winston-Salem,North Carolina,27107,200,200,0,10/29/2021 21:04,10/29/2021 21:06
1381,4/19/2022 18:25,Winston-Salem,North Carolina,27106,1510,3520,2010,9/28/2020 14:43,4/19/2022 18:25
6291,8/26/1997,Winston-Salem,North Carolina,27106,800,800,0,10/28/2021 23:03,1/18/2022 18:01
5635,3/15/2022 19:02,Winston-Salem,North Carolina,27109,760,1260,500,9/10/2021 14:12,3/15/2022 19:02
31,5/8/2022 9:30,Raleigh,North Carolina,27612,12915,12925,10,9/4/2020 17:35,5/8/2022 9:30
1167,4/3/1988,Winston-Salem,North Carolina,27104,690,700,10,9/17/2020 12:34,10/8/2021 11:49
3011,6/21/1999,Winston-Salem,North Carolina,27106,800,2800,2000,6/30/2021 17:13,3/19/2022 20:14
3012,2/4/1999,Winston-Salem,North Carolina,27106,4780,4780,0,7/15/2021 11:07,5/3/2022 14:38
981,11/13/2020 12:42,Winston-Salem,North Carolina,27106,760,810,50,9/10/2020 14:37,11/13/2020 12:42
2149,4/24/2021 20:04,Winston-Salem,North Carolina,27106,470,720,250,10/14/2020 22:45,4/24/2021 20:04
1068,5/25/2021 8:33,Winston-Salem,North Carolina,27105,610,610,0,9/11/2020 8:52,5/25/2021 8:33
6592,6/15/1997,Winston-Salem,North Carolina,27106,960,960,0,11/13/2021 16:19,2/19/2022 9:38
1543,10/21/2020 11:11,Winston-Salem,North Carolina,27106,1390,1400,10,9/29/2020 13:29,10/21/2020 11:11
816,3/23/2022 9:42,Mooresville,North Carolina,28117,4440,4480,40,9/10/2020 13:56,3/23/2022 9:42
5,3/24/1994,Winston-Salem,North Carolina,27109,650,650,0,8/21/2020 11:27,12/30/2020 10:57
4,4/16/1990,Winston-Salem,North Carolina,27106,10790,14290,3500,8/18/2020 13:21,6/30/2022 22:22
1542,1/24/1998,Winston-Salem,North Carolina,27106,2050,2800,750,9/29/2020 13:27,3/19/2022 16:07
4332,4/30/2003,Mooresville,North Carolina,28117,2350,2350,0,8/31/2021 19:01,3/22/2022 9:56
7230,5/18/1999,Winston-Salem,North Carolina,27107,410,410,0,6/24/2022 16:03,6/24/2022 16:06
2608,4/24/2021 1:53,Winston-Salem,North Carolina,27101,710,1010,300,12/15/2020 0:50,4/24/2021 1:53
1406,12/8/1999,Mooresville,North Carolina,28115,2165,3755,1590,9/28/2020 17:40,3/30/2022 16:21
2892,6/23/2022 13:23,Winston-Salem,North Carolina,27109,2670,2720,50,4/8/2021 13:44,6/23/2022 13:23
2889,5/17/2022 12:31,Winston-Salem,North Carolina,27109,870,1170,300,4/7/2021 19:18,5/17/2022 12:31
340,3/2/2022 20:34,Winston-Salem,North Carolina,27109,1155,1615,460,9/9/2020 13:47,3/2/2022 20:34
7220,8/7/1999,Winston-Salem,North Carolina,27106,430,430,0,6/22/2022 17:36,6/26/2022 16:39
343,5/23/2022 13:30,Winston-Salem,North Carolina,27109,1050,1850,800,9/9/2020 13:51,5/23/2022 13:30
1364,3/9/2001,Morganton,North Carolina,28655,4980,4980,0,9/28/2020 12:42,6/30/2022 1:59
7220,8/7/1999,Winston-Salem,North Carolina,27106,430,430,0,6/22/2022 17:36,6/26/2022 16:39
2464,3/16/2022 16:29,Winston-Salem,North Carolina,27109,1500,1800,300,10/20/2020 16:30,3/16/2022 16:29
305,5/11/2022 17:49,Winston-Salem,North Carolina,27107,3235,4660,1425,9/9/2020 11:05,5/11/2022 17:49
7200,7/24/2000,Winston-Salem,North Carolina,27106,640,640,0,6/7/2022 15:37,7/1/2022 0:57
769,6/23/2022 7:03,Winston-Salem,North Carolina,27109,1310,1320,10,9/10/2020 13:15,6/23/2022 7:03
470,10/19/2020 11:43,Charlotte,North Carolina,28211,475,575,100,9/9/2020 18:06,10/19/2020 11:43
772,3/15/2000,Winston-Salem,North Carolina,27106,2805,3005,200,9/10/2020 13:16,4/12/2022 8:33
5574,11/8/1999,Charlotte,North Carolina,28262,200,200,0,9/6/2021 16:49,9/15/2021 7:18
617,5/26/1993,Charlotte,North Carolina,28209,1030,2380,1350,9/10/2020 12:25,6/22/2021 18:14
6781,4/30/1971,Charlotte,North Carolina,28216,400,400,0,1/7/2022 22:50,2/3/2022 19:42
2772,7/26/2002,Charlotte,North Carolina,28269,2300,8800,6500,3/2/2021 21:51,6/26/2022 9:49
1259,2/12/2022 14:59,Winston-Salem,North Carolina,27106,1480,1500,20,9/26/2020 18:11,2/12/2022 14:59
591,9/15/1998,Charlotte,North Carolina,28277,1100,1100,0,9/10/2020 8:34,11/27/2021 19:04
1278,3/29/2022 9:11,Charlotte,North Carolina,28210,610,1110,500,9/27/2020 12:24,3/29/2022 9:11
1753,4/8/2022 22:07,Charlotte,North Carolina,28207,975,1285,310,10/3/2020 17:58,4/8/2022 22:07
93,5/9/2021 22:47,Charlotte,North Carolina,28277,950,1350,400,9/7/2020 9:37,5/9/2021 22:47
180,4/10/2022 16:19,Charlotte,North Carolina,28277,2330,2480,150,9/8/2020 17:25,4/10/2022 16:19
2626,4/9/2001,Winston-Salem,North Carolina,27109,3340,3340,0,2/24/2021 17:48,6/17/2021 3:03
14,11/1/2000,Winston-Salem,North Carolina,27106,10965,17165,6200,8/22/2020 20:02,5/11/2022 15:16
3350,3/8/2003,Winston-Salem,North Carolina,27109,3560,3560,0,8/21/2021 16:19,4/18/2022 12:13
2803,6/29/2022 14:33,Chapel Hill,North Carolina,27517,8180,8580,400,3/6/2021 7:47,6/29/2022 14:33
657,10/4/1998,Chapel Hill,North Carolina,27516,1535,1535,0,9/10/2020 12:42,1/31/2022 10:29
173,3/2/2022 12:59,Cary,North Carolina,27513,2185,2235,50,9/8/2020 17:15,3/2/2022 12:59
153,5/28/2022 23:45,Winston-Salem,North Carolina,27106,3650,4050,400,9/8/2020 14:30,5/28/2022 23:45
303,5/24/2022 10:11,Winston-Salem,North Carolina,27106,3325,4725,1400,9/9/2020 10:55,5/24/2022 10:11
10,7/20/1999,Winston-Salem,North Carolina,27106,8465,8515,50,8/22/2020 14:42,4/9/2022 14:10
461,4/19/2022 16:41,Mooresville,North Carolina,28115,6570,8445,1875,9/9/2020 17:50,4/19/2022 16:41
404,2/26/2021 12:41,Winston-Salem,North Carolina,27106,250,760,510,9/9/2020 17:02,2/26/2021 12:41
405,3/14/2022 9:04,Winston-Salem,North Carolina,27106,2590,2620,30,9/9/2020 17:02,3/14/2022 9:04
2914,4/18/2022 10:57,Greensboro,North Carolina,27455,520,570,50,4/9/2021 13:10,4/18/2022 10:57
3572,5/10/2003,Greensboro,North Carolina,27410,9520,9520,0,8/25/2021 20:34,5/6/2022 11:31
2931,6/18/1997,Winston-Salem,North Carolina,27101,430,430,0,4/15/2021 18:20,4/23/2021 11:21
